action,keywords,parent,description,title,application_type
pt_entry_split_molecule,,,"Split the selected entry into a set of entries, one for each molecule in the source entry.",,
pt_export_spreadsheet,,,"Export rows and columns from the Project Table to a CSV file, which can be read into a spreadsheet application. Opens the Export Spreadsheet panel.",,
pt_export_structures,,project_exportstructures,,,
pt_export_to_canvas,,,"Export the selected entries in the Project Table panel with their properties directly to a Canvas project, and open the Canvas GUI with that project loaded. Opens the Export to Canvas dialog box to select options for the Canvas project, then a file selector to name or locate the Canvas project.",,
pt_export_to_pymol,,pymol4maestro.show_panel,,,
pt_export_to_spreadsheet,,pt_export_spreadsheet,,Export to Spreadsheet...,Project Table and Project Operations
pt_find_replace,,,"Show or hide the Find toolbar to find and replace text, in any table cell except the row number.",,
pt_import_spreadsheet,,,"Import data from a spreadsheet into the project as entry properties. Combined with the use of the Export Spreadsheet dialog box, you can export data to a spreadsheet, manipulate it, and re-import it into Maestro. Opens the Import Spreadsheet panel.",,
pt_import_structures,,project_importstructures,,,
pt_import_surfaces,,,Import surfaces or volumes from a file and associate them with the selected entry. There must be only one entry selected for this menu item to be available. Opens a file selector to choose the files.,,
pt_import_vibrational_data,,,Import vibrational data from a Jaguar calculation and associate it with the selected entry. There must be only one entry selected for this menu item to be available. Opens a file selector to choose the file.,,
pt_manage_charts,,,,Manage Charts...,Project Table and Project Operations
pt_mute_row_column_colors,,,,,
pt_preferences,,,"Open the Preferences panel at the Project Table &ndash; Properties tab, so you can set project-related preferences.",,
pt_property_add,,,"Add a new property column to the project table. Opens the Add Property dialog box, in which you can specify the name, type, and precision of the property and its initial value.",,
pt_property_calculate,,calcprop,,,
pt_property_clear,,,Clear the values in the chosen properties for the selected entries or all entries.<br/>Opens the Clear Property Values Dialog Box.,,
pt_property_copy,,,"Copy values from one property to another, for the selected entries or for all entries. <br/>Opens the Copy Property panel.",,
pt_property_custom_families,,,"Create, edit, and delete custom property families.<br/>Opens the Manage Custom Property Families panel.",,
pt_property_decimalplaces,,,Set the number of decimal places displayed for one or more real-valued properties. This item is not on the Property shortcut menu if the property does not have real values.<br/>Opens the Set Decimal Places dialog box.,,
pt_property_delete,,,Delete chosen properties.<br/>Opens the Delete Property dialog box,,
pt_property_hideall,,,"Hide all project properties. Only the Row, In, and Title columns remain visible.",,
pt_property_hideonly_family_maestro,,,,,
pt_property_merge,,,"Merge the values of one or more properties into a destination property, by concatenating the source properties into a string in the selected order, with a specified separator.<br/>Opens the Merge Properties panel.",,
pt_property_primaryonly,,,"Show only the primary properties of each property family, and hide the secondary properties.",,
pt_property_select,,,"Select the properties to show.<br/>Opens the Show Properties dialog box, in which you can choose the properties to show.",,
pt_property_selectedentries,,,"Show only the properties that have values for one or more of the selected entries, and hide all other properties.",,
pt_property_showall,,,Show all project properties.,,
pt_property_showonly_family_maestro,,,Show only the Maestro properties.,,
pt_property_tree,,,"Display a tree view of the properties in the Project Table, which you can use to show and hide properties and property families, locate and scroll to properties.<br/>Opens the Property Tree panel, which is docked to the right of the properties in the table by default.",,
pt_rank_entries,,,Perform Pareto ranking of project entries for 2 to 4 properties. The result is a property that specifies the rank. The entries can be sorted and the top-ranking entries selected after ranking.<br/>Opens the Multivariate Ranking panel.,,
pt_redo_calculation,,,Recalculate values of entry properties that were generated from the structures.<br/>Opens the Recalculate Molecular Properties Dialog Box.,,
pt_reorder_properties,,,Change the order that the properties appear in the Project Table. Opens the Reorder Properties dialog box.,,
pt_select_by_property_values,,projtable_select_by_property_values,,Select by Property Values...,Project Table and Project Operations
pt_select_first_entry_per_title,,projtable_select_firstentry_per_title,,,
pt_select_first_level_entries,,projtable_select_firstlevel_of_entries,,,
pt_show_2d_images,,,"Display 2D structures as a third column in the Project Table. Structures with more than a specified number of atoms (default 200) are not displayed. For protein-ligand complexes, the ligand is displayed, with an icon in the top right to indicate that a protein is present.",,
pt_sort_entries,,,"Sort the entries and entry groups in the Project Table by the values of one or more properties. Entries can be grouped before sorting, and groups can be sorted on the same properties as ungrouped entries or on different properties. Entries with the highest or lowest values can be selected after sorting. The sort can be applied to all entries, or just the selected entries. <br/>Opens the Sort Project Table panel.",,
pt_total_surface_area,,,,Add Total Surface Area...,Project Table and Project Operations
pt_update_substructure_count,,,Update properties that are counts of substructures of project entries.<br/>Opens the Add Substructure Count Property Dialog Box.,,
pt_view_chart,,,,View Chart...,Project Table and Project Operations
pxrd_gui.panel,,,"Locate peaks in a plot of intensity against angle from an x-ray powder diffraction experiment, after removing background. Peaks can be detected automatically and adjusted or assigned manually.<br/>Opens the Powder Diffraction Indexing panel.",,
pymol,,pymol4maestro.show_panel,,,
pymol4maestro.show_panel,,,"View structures from Maestro in PyMOL. You can start and stop PyMOL, send structures from Maestro to PyMOL, and make settings for the PyMOL scene and image.<br/>Opens the PyMOL for Maestro panel.",,
python_shell,,,"Open a window that can be used to run Python commands, with the Schr&ouml;dinger environment set up.<br/>Opens the Python Shell panel.",,
qikprop,"caco, logBB, properties",,"<!-- ADME/T, logP, logS, Caco-2, MDCK, permeability, herg, QSPR, QikProp, quick -->
Calculate ADME properties and 2D and 3D QSAR descriptors of small molecules.<br/>Opens the QikProp panel.",QikProp...,Other Applications
qm_monitor_gui.panel,,,"<!-- qe -->
Monitor the convergence of QM jobs (Jaguar or Quantum Espresso) while they are running.<br/>Opens the QM Monitor panel",QM Convergence Monitor...,Quantum Mechanics
qpld_gui.panel,,,"<!-- qm, Jaguar, QPLD -->
Use quantum mechanically-polarized ligand partial atomic charges and dock ligands to a protein target with Glide.<br/>Opens the QM-Polarized Ligand Docking panel.",,
qsar,,,"Build a 3D QSAR model from a set of aligned ligands, and use the model to predict activities for other molecules. The model can be based on atom types, but not on pharmacophore types.<br/>Opens the Atom-Based QSAR panel.",,
qsar_atom_based,QSAR,,,Atom-Based...,Discovery Informatics and QSAR
qsar_field_based,"QSAR, Comfa, Comsia",,,3D Field-Based...,Lead Optimization
qsite,,,"<!-- impact, jaguar -->
Perform mixed quantum mechanical/molecular mechanical (QM/MM) calculations on proteins and protein-ligand complexes.<br/>Opens the QSite panel.",QSite...,Other Applications
query_bonds_gui.panel,,,"Find bonds in a structure by element pair, order, or length, and delete or change the order of selected bonds.<br/>Opens the Query Bonds Panel.",,
query_csd_gui.panel,,,"Send a query to Mogul for a set of ligand molecules, to obtain a report on the match between the geometric parameters of the molecules and those found in the Cambridge Structural Database (CSD).<br/>Opens the Query Cambridge Structural Database panel.",,
query_materials_local_gui.panel,,,"Search the local file system for structures that match an ASL expression or contain specified structure properties, and import the results into the project.<br/>Opens the Query Local Materials panel",,
query_materials_mp_gui.panel,,,Query the databases of the Materials Project.<br/>Opens the Query Materials Project Database panel,,
quick_shape_screening,"virtual screen, Quick Shape Screening, screen, screening",,,Quick Shape Screening...,Ligand-Based Virtual Screening
r_group_analysis.show_panel,,,"Identify the groups that are attached to a common core in a series of molecules and display properties of the identified R groups. The core can be taken from CombiGlide attachment bond labeling, specified by a SMARTS pattern, or determined by the maximum common substructure obtained from a Canvas MCS run.<br/>Opens the R-Group Analysis panel.<!-- SAR, structure-activity relationship -->",,
r_group_library_gui.ligand_panel,,,Create and edit ligands for metal complexes and manage ligand libraries.<br/>Opens the Ligand Creator panel,,
r_group_library_gui.panel,"fragment, enumeration, library, interactive enumeration, r group, rgroup, r-group",,"Create and edit R groups, and manage R-group libraries.<br/>Opens the R-Group Creator panel.",Create R-Group Library...,Enumeration and Ideation
rama_gui.panel,,,"<!-- torsion -->
Display a Ramachandran plot of protein phi and psi dihedral angles.<br/>Opens the Ramachandran Plot panel.",,
ramachandran_plot,protein analysis,,,Ramachandran Plot...,Structure Analysis
rapid_torsion_scan,"torsion, small molecule analysis, rotamers, torsion scan",,,Rapid Torsion Scan...,Workspace Operations
rapid_torsion_scan_gui.panel,,,"Scan the orientations around a ligand bond or view rotamer states of a selected protein residue, and see a breakdown of the energy for each orientation or state. No relaxation of the structure is done during the scan.<br/>Opens the Rapid Torsion Scan panel.",,
raytrace.run,,,"Create a ray trace image of the Workspace, using PyMOL.<br/>Opens a file browser to specify the output file.",,
rdf_gui.panel,,,"<!-- desmond, analysis -->
Calculate and plot radial distribution functions from a molecular dynamics simulation.<br/>Opens the Radial Distribution Function panel.",,
reaction_based_enum_gui.panel,"reaction-based, enumeration, PathFinder",,Enumerate structures by substitution of R groups in the reactants and products of a single- or multi-step reaction.<br/>Opens the Reaction-Based Enumeration panel,Reaction-Based Enumeration...,Enumeration and Ideation
reaction_energetics_enumeration,"QM, quantum mechanics",,,Reaction Energetics Enumeration...,Quantum Mechanics
reaction_energetics_enumeration_gui.panel,,,"<!-- energy, enthalpy -->
Calculate reaction barriers, enthalpies, and energies of intermediates for a series of related compounds, based on a prototype reaction, which can include multiple transition states and intermediates. The structures for the reactions are enumerated by addition of functional groups to the structures for the prototype reaction.<br/>Opens the Reaction Energetics Enumeration panel.",,
reaction_profile_viewer_gui.panel,,,"Display a diagram of the energy for the stationary points in the progress of a reaction, derived from the energies of specified Maestro project entries.<br/>Opens the Reaction Profile Viewer panel",,
reaction_workflow_gui.panel,,,"Run a set of optimizations with Jaguar on structures that are reactants, transition states, intermediates, or products in a reaction network, with an optional conformational search.<br/>Opens the Reaction Network Profiler panel.",,
reaction_workflow_input_gui.panel,,,"Prepare input structures for each stage of a reaction network, annotated with the relevant properties. The prepared structures can then be used in the Reaction Network Profiler panel.<br/>Opens the Create Reaction Network Profiler Input Structures panel.",,
reactiq_gui.panel,,,"Set up and run a transition state search. The setup involves providing a set of reactant and product structures, viewing the reactant and product complexes and an initial reaction path, adjusting these structures as necessary, then making settings and running the job.<br/>Opens the Transition State Search panel.",,
reactiq_viewer_gui.panel,,,View the results of a transition state search.<br/>Opens the Transition State Search Viewer panel.,,
reactive_protein_residues_gui.panel,,,"<!-- hot spots, reactivity -->
Identify protein residues that have a propensity for deamidation, oxidation, glycosylation or proteolysis. Residues are identified based on canonical definitions reported in the literature plus filters based on solvent accessibility and b-factor. You can add search defintions using the extensible PROSITE syntax.<br/>Opens the Reactive Protein Residues panel.",,
reagentprep,,,"Prepare reagent libraries for use in combinatorial screening or combinatorial library enumeration, by identifying the functional group and labeling the attachment bond.<br/>Opens the Reagent Preparation panel.",,
redefine_lattice_gui.panel,,,"Redefine the lattice for a crystal structure, by specifying new lattice constants, defining a plane for one face of the new cell, supplying a transformation matrix, or converting to a primitive cell.<br/>Opens the Redefine Lattice panel.",,
refinecomplex,,,"<!-- Prime --><br/>Optimize a docked ligand in the environment of its protein, taking protein flexibility into account. The optimization can be performed using a variety of protocols for both covalently-bound and non-covalently-bound ligands, and can optionally include periodic boundary conditions, an implicit solvent, and an implicit membrane.<br/>Opens the Refine Protein-Ligand Complex panel.",,
refineloops,,,"<!-- Prime -->
Refine the structure of loops in the protein that is displayed in the Workspace. The refinement can be run with periodic boundary conditions, in implicit solvent, and with an implicit membrane.<br/>Opens the Refine Loops panel.",,
register_via_ld,"LiveDesign, LD",,,Register via LiveDesign...,Discovery Informatics and QSAR
remove_molecules_from_system_gui.panel,,,"Remove molecules from a system prepared for MD simulations, by random selection, preserving force-field information.<br/>Opens the Remove Molecules from System Panel.",,
renameproperty,,,"Rename the property. You can change the visible name and the internal name, and you can also change the property type.<br/>Opens the Edit Property Name/Type dialog box.",,
rep,,,Change the representation of atoms and bonds. You can choose the representation and apply it to all atoms or to selected atoms.<br/>Opens the Molecular Representation panel.,,
replica_exchange,"Desmond, enhanced sampling, replica exchange analysis, sampling",,,Replica Exchange...,Classical Simulation
replica_exchange_review_gui.panel,,,"<!-- desmond, REMD -->
Analyze replica exchange simulations. Display plots of temperature replicas as functions of time.<br/>Opens the Replica Exchange Dynamics Review Panel.",,
residue_analysis_gui.panel,,,"<!-- SASA, energy -->
Run an analysis of the protein in the Workspace to produce properties of the residues, including hydropathy, energies, solvent-accessible surface areas, and rotatable bonds.<br/>Opens the Residue Analysis panel.",,
residue_distance_map,protein analysis,,,Residue Distance Map...,Structure Analysis
residue_distance_map.panel,,,"Dispay a heat map of the distances between all pairs of a selected PDB atom type in a protein, and select points in the plot for highlighting and display of the distances in the Workspace.<br/>Opens the Residue Distance map panel.",,
residue_scanning_gui.maturation_panel,,,"Perform multiple mutations of a protein to optimize either the binding affinity between sets of protein chains or the stability of the protein. The residues that are candidates for mutation can be chosen using homology modeling to identify variable or conserved residues, solvent-accessible surface area to identify surface residues, distances to identify contacts with other residues, surface shape complementarity, and manual selection.<br/>Opens the Affinity Maturation panel.",,
residue_scanning_gui.panel,,,"Perform a set of amino acid mutations, and for each mutation calculate changes in a variety of properties, including protein stability and protein affinity. You can specify the set of residues for which the scan is performed, and the set of residue changes at each position.<br/>Opens the Residue Scanning panel.",,
residue_scanning_viewer_gui.humanize_panel,,,"Display the results of residue mutations that are made in the Antibody Humanization: Residue Scanning panel. You can examine changes in various properties, both in a table and in a graph, and you can view mutations in the Workspace.<br/>Opens the Humanize Antibody Viewer panel.",,
residue_scanning_viewer_gui.maturation_panel,,,"Display the results of residue mutations that are made in the Affinity Maturation panel. You can examine changes in various properties, both in a table and in a graph, and you can view mutations in the Workspace.<br/>Opens the Affinity Maturation Viewer panel.",,
residue_scanning_viewer_gui.panel,,,"Display the results of residue mutations that are made in the Residue Scanning panel. You can examine changes in various properties, both in a table and in a graph, and you can view mutations in the Workspace.<br/>Opens the Residue Scanning Viewer panel.",,
rgroup_analysis,"rga, r group, rgroup, r-group, mcs",,,R-group Analysis...,Structure Analysis
ribbon,,,"Change ribbon representations and settings. You can choose the style and color scheme, limit the range of residues for which ribbons are displayed, apply, update, or delete ribbons, and set the atoms that are displayed with the ribbons.<br/>Opens the Ribbons panel.",,
rotate_all.panel,,,"Rotate a set of protein structures (and associated objects) into the frame of reference of a reference structure, using the same rotation for each structure.<br/>Opens the Rotate Structures panel.",,
rrho_entropy.show_panel,,,"Calculate the change in translational, rotational, vibrational, and total entropy of each ligand upon binding to a receptor, using the rigid-rotor harmonic oscillator (RRHO) model.",,
rxn_path_interpolation_gui.panel,,,Create a linear synchronous transit reaction path by interpolation between a reactant structure and a product structure. The path is returned as a set of structures with a property that defines the distance along the path.<br/>Opens the Reaction Path Interpolation panel.,,
rxnchannel_gui.panel,,,"<!-- transition state -->For a given set of reactants, enumerate possible reaction channels for several kinds of reactions, either by choosing specific channels, by random selection, or by exhaustive enumeration.<br/>Opens the Reaction Channel Enumeration panel.",,
sasa_panel.panel,,,"Compute the change in solvent-accessible surface area upon binding for receptor-ligand pairs. The surface areas and their changes on binding are broken down into contributions from pharmacophore types, residue types, and structural features.<br/>Opens the Binding Surface Area Analysis panel.",,
save_image,,,"Save an image of the Workspace to a file in TIFF, JPEG, or PNG format.<br/>Opens the Save Image panel.",,
scaffold_decomp,scaffold,,,Scaffold Decomposition...,Structure Analysis
scaffold_decomp_launcher.show_panel,,,"Set up and run a job to decompose a set of structures into its constituent scaffolds, or cores.<br/>Opens the Scaffold Decomposition panel.",,
scan_lrc_omega_gui.panel,,,Tune the range-separation parameter ω in long-range-corrected density functionals so that the ionization potential as calculated from separate DFT calculations is as close to the HOMO orbital energy as possible.<br/>Opens the Tune DFT Range-Separation Parameter Panel.,,
scenesmanage,,,"Add, delete, and export scenes, and make settings for scenes.<br/>Opens the Manage Scenes panel.",,
scenesnew,,,"Create a new scene, which contains project entries and data as well as the Workspace view.",,
scenesview,,,"Start viewing scenes. The <span class=""GUI"">Scenes</span> toolbar is displayed below the Workspace.",,
schrodinger.application.pymol.export_to_pymol_gui.panel,export,,,Export to PyMOL...,Workspace Operations
schrodinger.application.pymol.pymol4maestro.show_panel,export,,,Export to PyMOL...,Workspace Operations
schrodinger.ui.qt.forcefield.ffprojectsettingsdlg.show_ff_project_settings_dlg,,,Specify the location of the OPLS4 custom parameters to be used with the current project.<br/>Opens the Set Custom Parameters Location Dialog Box.,,
schrodinger.utils.documentation.show_legal_notice,,,,,
sculpt_complex_gui.panel,,,"Build one or more complexes from a set of ligands and capping groups, by mapping the coordination sites on the complex to the attachment points on the ligands. The complexes are minimized using a force field.<br/>Opens the Sculpt Complex panel.",,
sdgr_knowledge_bot_gui.help_panel,"Knowledge Bot, Maestro Assistant, Assistant, AI, Chat, Chatbot, Help",,,Maestro Assistant (Beta)...,Other Applications
select_disallowed.run backbone,,,Select residues that have backbone dihedrals that are in the disallowed region.,,
select_disallowed.run sidechain,,,Select residues that have side-chain dihedrals that are in the disallowed region.,,
select_disallowed_backbone,protein analysis,,,Select Disallowed Backbone,Structure Analysis
select_disallowed_sidechain,,,,Select Disallowed Sidechains,Structure Analysis
select_top_poses,"docking postprocessing, pose, post process, top ranked poses",,,Select Top Poses...,Receptor-Based Virtual Screening
select_top_poses_gui.panel,,,Select the top Glide poses from the selected project entries or a file.<br/>Opens the Select Top Poses panel.,,
semi_crystal_builder_gui.panel,,,"Build a semicrystalline polymer, consisting of crystalline and amorphous layers.<br/>Opens the Semicrystalline Polymer Builder panel.",,
semi_emp_gui.panel,,,"Set up and run a semiempirical NDDO quantum chemical calculation on one or more structures, including geometry optimization, property evaluation, and generation of property surfaces.<br/>Opens the Semiempirical NDDO Module panel.",,
sets,,,"Manage sets of atoms that are used in Maestro operations,such as selecting atoms in the Workspace.<br/>Opens the Manage Sets panel.",,
setup_barrier_gui.panel,,,"<!--wall-->
Add repulsive barriers to a system displayed in the Workspace, and save the updated system containing barrier information as a Desmond Model.<br/>Opens the Set Barrier Potential for MD Panel.",,
shape_screening,"virtual screen, screening, ligand shape, ROCS, shape",,,Shape Screening...,Ligand-Based Virtual Screening
sim_event_analysis.show_panel,,,"<!-- desmond, analysis, trajectory -->
Analyze the output from a Desmond simulation and display the results of the analysis in various forms.<br/>Opens the Simulation Event Analysis panel.",,
simulated_annealing,"Desmond, enhanced sampling, protein simulation, sampling",,,Simulated Annealing...,Classical Simulation
simulation_analysis_gui.panel,,,"Display various measures of the quality of a simulation, and plot various quantities as a function of simulation time.<br/>Opens the Simulation Quality Analysis panel.",,
single_entry_feedback,,,"Display or undisplay entry information in the Workspace for a single &quot;target&quot; entry, subject to the related preference.",,
sitemap,,,,SiteMap...,Other Applications
sitemap_gui.panel,,,"<!-- sitemap, site identification, site characterization -->
Find, visualize and characterize protein binding sites. Identify druggable sites, characterize hydrophobic and hydrophilic regions in the site, and classify hydrogen-bond donor, acceptor, and metal-binding regions. Provide global binding site characteristics, including measures of exposure and overall hydrophobicity and hydrophilicity.<br/>Opens the SiteMap panel.",,
sketcher,,,"Draw and edit structures in 2D, then save them either as 2D structures, or convert to 3D with LigPrep.<br/>Opens the 2D Workspace panel.",,
sketcher-LID,,,Generate and display a 2D diagram of the interactions between a ligand and various protein residues.<br/>Opens the Ligand Interaction Diagram panel.,,
smarts_index.panel,,,Evaluate a SMARTS pattern in the Workspace and identify the SMARTS atom index of atoms that you pick in the Workspace.<br/>Opens the SMARTS Index panel.,,
smarts_match_gui.panel,,,"<!-- CG -->
Refine a set of atom groups by SMARTS patterns for use in coarse-grained modeling, and run a job to locate and label the atom groups in a set of structures.<br/>Opens the Define Groups by SMARTS panel.",,
solid_electrolyte_interphase_gui.panel,,,"<!-- sei -->
Study the evolution of the solid electrolyte interphase using cycles of reaction-template based molecular dynamics simulations.<br/>Opens the Solid Electrolyte Interphase (SEI) Calculation Panel.",,
solid_electrolyte_interphase_viewer_gui.panel,,,"<!-- sei -->
Plot the results of a solid electrolyte interphase calculation, view the evolution of species and their density over the course of the simulation.<br/>Opens the Solid Electrolyte Interphase (SEI) Viewer Panel.",,
solvation_builder_gui.panel,,,Build a large solvated system around solutes or on a substrate. The resulting structure can be prepared for molecular dynamics simulations.<br/>Opens the Solvation Builder Panel.,,
spectral_cluster,"cheminformatics, clustering",,,Spectral Clustering...,Discovery Informatics and QSAR
spectral_cluster_gui.panel,,,Cluster the selected entries in the Project Table panel by the spectral method.<br/>Opens the Spectral Clustering panel.,,
spectrum_plot.panel,,,"<!-- c13 -->
Plot UV/Visible, IR/Raman, phonon, VCD, ECD, and NMR spectra from information on line positions and intensities, as generated by Jaguar or Quantum ESPRESSO.<br/>Opens the Spectrum Plot panel.",,
spin.spin Y 10 0.05,,,Rotate the Workspace structure about the Y (vertical) axis.,,
spin_states,"QM, quantum mechanics",,,Spin States...,Quantum Mechanics
spin_states_gui.panel,,,"<!-- multiplicity -->
Calculate high-spin and low-spin states of transition metal complexes, exploring some or all of the possible states produced by the transition metal initial guess code. Calculations can also be done on organic molecules and on complexes with more than one transition metal.<br/>Opens the Spin States panel",,
splicer_gui.panel,,,"Splice a contiguous set of residues from a source protein into an aligned target protein, removing residues from the target protein to accommodate the new protein segment. The region around the join points is minimized but no other refinement of the spliced segment is done.<br/>Opens the Protein Splicing panel.",,
star_target_entry,,,"Increment the number of stars assigned to the current entry in the Stars column of the Project Table. When the maximum number is reached, the next execution of this commands sets the number of stars to zero.",,
start,,,"<!-- MacroModel, MMOD -->
Start a MacroModel job based on a previously created command file.<br/>Opens the Start panel.",,
strain_energy_calc,"docking postprocessing, ligand strain rescore",,,Strain Energy Rescoring...,Receptor-Based Virtual Screening
strain_rescore_gui.panel,,,Calculate ligand strain energy from the difference between a tightly constrained minimization and an unconstrained minimization on each ligand pose.<br/>Opens the Strain Energy Calculation and Rescoring panel.,,
stress_strain_gui.panel,,,"Calculate the stress on a system as a function of the von Mises strain, from a set of molecular dynamic simulations.<br/>Opens the Stress Strain panel.",,
stress_strain_viewer_gui.panel,,,Display a plot of the stress vs the strain from a stress-strain calculation.<br/>Opens the Stress Strain Viewer Properties panel.,,
strikeFA.strikeFA,,,"<!-- Strike, pca -->
Perform principal component analysis of a set of descriptors and plot factors and loadings.<br/>Opens the Factor Analysis panel.",,
strikeStats.strikeStats,,,"<!-- Strike -->
Display univariate and bivariate statistics for descriptors in the Project Table.<br/>Opens the Univariate and Bivariate Statistics panel.",,
strikebuildqsar,,,"<!-- Strike -->
Generate QSAR/QSPR models using multiple linear regression (MLR), partial least squares (PLS), or principal component analysis (PCA).<br/>Opens the Build QSAR Model panel.",,
strikepredict,,,"<!-- Strike -->
Make predictions based on a Strike QSAR/QSPR model.<br/>Opens the Predict Based on QSAR Model panel.",,
strikesimilarity,,,"<!-- Strike -->
Compute molecular similarities using distance-based similarity measures in descriptor space or in 2D-structure space with an atom-pair approach.<br/>Opens the Calculate Similarity panel.",,
structalign,"alignment, superimpose, superpose, superimposition",,"<!-- protein alignment -->
Align proteins to a reference protein structure as rigid bodies, making use of secondary structure information. The reference structure is the first included protein in the Project Table.<br/>Opens the Protein Structure Alignment panel.",Protein Structure Alignment...,Structure Alignment
structconvert,,,,Structure File Converter...,Project Table and Project Operations
structconvert_gui.panel,,,"Read structures from a structure file in one format, and write them out to another file in another format. The allowed formats are: Maestro, PDB, SD, SMILES, MOL2, and CIF, with any of the usual file extensions.<br/>Opens the Structure File Converter panel.",,
structure_factor_gui.panel,,,Calculate structure factors for a specified set of atoms from the structure in the Workspace.<br/>Opens the Structure Factor Calculation panel.,,
structure_factor_viewer_gui.panel,,,Plot 1D and 2D structure factors from a structure factor calculation.<br/>Opens the Structure Factor Viewer panel.,,
structure_morpher.panel,,,"Transform (morph) a structure with identical atoms from one conformation to another using an unphysical path in torsion space, creating structures along this path.<br/>Opens the Structure Morpher panel.",,
structured_liquid_gui.panel,,,"Build surfactant systems such as micelles, liposomes and bilayers from multiple surfactant molecules and solvent molecules.<br/>Opens the Build Structured Liquid panel.",,
superimpose,,,"<!-- align -->Perform rigid-body superposition of the structures that are included in the Workspace, or the structures that are selected in the Project Table, based on corresponding atom pairs defined by selection, ASL, or a SMARTS pattern.<br/>Opens the Superposition panel.",,
superposition,"alignment, rmsd, superimpose, superpose, superimposition, align",,,Superposition...,Structure Alignment
surface_display_toggle,,,,,
surface_energy_gui.panel,,,Create slabs from a bulk structure and compute the surface energy.<br/>Opens the Surface Energy Calculations Panel.,,
surface_import,,pt_import_surfaces,,,
surface_tension_gui.panel,,,Calculate the surface tension of single phase systems from MD simulations.<br/>Opens the Surface Tension Calculation Panel.,,
surface_tension_viewer_gui.panel,,,Plot the results of a surface tension calculation.<br/>Opens the Surface Tension Viewer Panel.,,
surface_undisplay_all,,,Remove all surfaces from the Workspace.,,
surfaceadvanced,,,"Generate a surface for the selected atoms, with controls for the parameters of the surface.<br/>Opens the Advanced Surfaces panel.",,
surfacepbrsp,,,"Calculate the electrostatic potential on a grid, using a Poisson-Boltzmann solver with the partial charges of the input structure, and generate isosurfaces and a mapping to the molecular surface.<br/>Opens the Electrostatic Potential Surface panel.",Poisson-Boltzmann ESP...,Structure Analysis
surfaces_interfaces_gui.panel,,,"Build a slab of a specified thickness by slicing a crystal structure along a specified plane, and optionally add a second slab above or below the first, taken from another crystal structure. Multiple slabs can be generated that are sliced along different planes.<br/>Opens the Build Slabs and Interfaces panel.",,
surfacevdw,,,Generate a surface for a set of atoms that consists of the outer surface of the atomic spheres whose radii are the van der Waals radii of the atoms.<br/>Opens the VDW Surface panel.,,
surfactant_tilt_gui.panel,,,Calculate tilt and rotational angles of surfactants from an MD simulation.<br/>Opens the Surfactant Tilt Calculation Panel.,,
surfactant_tilt_viewer_gui.panel,,,Show time series and histogram plots of tilt and rotational angles of surfactants.<br/>Opens the Surfactant Tilt Viewer Panel.,,
swap_fragments_gui.panel,,,Replace a selected fragment in each of a set of reference structures with a selected fragment from another structure. The structures are aligned by superposition before replacement is done.<br/>Opens the Swap Fragments panel.,,
symmetrize,,,Impose point-group symmetry on the atoms in the Workspace.<br>Opens the Symmetrize Workspace dialog box.,,
system_builder,Desmond,,,System Builder...,Desmond
system_builder_gui.panel,,,"<!-- desmond, MD -->
Set up a system for molecular dynamics simulations. The system can include proteins, ligands, explicit solvent, a membrane, and counter ions.<br/>Opens the System Builder panel.",,
system_setup,"Desmond, dynamics, molecular dynamics, MD, setup MD, system setup",,,System Setup...,Classical Simulation
tasks_adme,,qikprop,,,
tasks_adme_amphiphilic_moment,,,,Amphiphilic Moment...,ADME and Molecular Properties
tasks_adme_interactive_properties,ADME/tox,,,Interactive Properties...,Workspace Operations
tasks_adme_membrane_permeability,,,,Physics-Based Membrane Permeability...,ADME and Molecular Properties
tasks_adme_tox_prediction,ADME/tox,,,Ligand-Based ADME/Tox Prediction...,Ligand Preparation and Library Design
tasks_build_2d_sketcher,"draw, sketch, building, 2D, SMILES",,,2D Sketcher...,Ligand Preparation and Library Design
tasks_build_lid,"ligand interaction diagram, lid, 2D",sketcher-LID,,Ligand Interaction Diagram...,Structure Analysis
tasks_calculate_energy_ff,,,macromodel_current_energy,,
tasks_csearch_montecarlo,,app_mcpro_monte,,,
tasks_csearch_rce,"MacroModel, conformer",,,Redundant Conformer Elimination...,MacroModel
tasks_docking_glide,,glide_docking_gui.panel,,,
tasks_docking_grid,,glide_gridgen_gui.panel,,,
tasks_free_energy_atom_mutation,,app_desmond_ring_atom_fep,,,
tasks_free_energy_fg_mutation,,app_desmond_ligand_fep,,,
tasks_ligand_preparation,,ligprep_gui.panel,,,
tasks_ligand_properties,,ligand_and_structure_based_descriptors,,,
tasks_minimization_qmmm,,qsite,,,
tasks_phase_create_hypothesis,,phase_create_hypothesis,,,
tasks_phase_manage_hypotheses,,,"<!-- pharmacophore model -->
Manage the hypotheses that are available to the project. This includes, creating, editing, and deleting hypotheses, importing and exporting hypotheses, and adding excluded volumes to hypotheses.<br/>Opens the Manage Pharmacophore Hypotheses panel.",,
tasks_pka_empirical,,epik_gui.panel,,,
tasks_pka_quantum,,jaguar_gui.pka_panel,,,
tasks_prepare_proteins,,prepwizard_gui.panel,,,
tasks_protein_preparation,,prepwizard_gui.panel,,,
tasks_quantum_optimization,,jaguar_gui.optimization_panel,,,
tcr_structure_prediction_gui.panel,"TCR, T-cell receptor",,,TCR Structure Prediction...,Biologics
